run_id,task,profile,step_id,command,status,exit_code,duration_seconds,known_blocker_id,stdout_log,stderr_log,result_path
20260505T082916Z-846c7e93,review-bundle-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,passed,0,0.069,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/step-results/py-compile.json
20260505T082916Z-846c7e93,review-bundle-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.571,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-846c7e93/step-results/task-brief-tests.json
20260505T082916Z-93061021,review-bundle-bootstrap,local-fast,atlas-check,python3 scripts/anigma_context_query.py --check,passed,0,0.263,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/atlas-check.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/atlas-check.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/step-results/atlas-check.json
20260505T082916Z-93061021,review-bundle-bootstrap,local-fast,git-hygiene-status,python3 scripts/anigma_git_hygiene.py status,passed,0,0.551,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/git-hygiene-status.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/git-hygiene-status.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/step-results/git-hygiene-status.json
20260505T082916Z-93061021,review-bundle-bootstrap,local-fast,py-compile,python3 -m py_compile scripts/anigma_pipeline.py scripts/anigma_validate_scope.py scripts/anigma_result_contract.py scripts/anigma_common/*.py,passed,0,0.066,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/py-compile.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/py-compile.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/step-results/py-compile.json
20260505T082916Z-93061021,review-bundle-bootstrap,local-fast,task-brief-tests,python3 scripts/test_task_brief_generator.py,passed,0,0.552,,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/task-brief-tests.stdout.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/logs/task-brief-tests.stderr.log,.build/anigma-pipeline/runs/review-bundle-bootstrap/20260505T082916Z-93061021/step-results/task-brief-tests.json
20260505T082919Z-492e8280,td-cleanup-004,daemon-runtime,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,9.259,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/step-results/atlas-build.json
20260505T082919Z-492e8280,td-cleanup-004,daemon-runtime,context-query,python3 scripts/anigma_context_query.py --risk daemon_ipc_binding --target AnigmaDaemonCore --limit 10,passed,0,0.426,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/context-query.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/context-query.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/step-results/context-query.json
20260505T082919Z-492e8280,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,passed,0,2.197,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082919Z-492e8280/step-results/executable-advisory.json
20260505T082919Z-6bc01bff,pipeline-bootstrap,test,noop,"python3 -c 'print(""hello"")'",passed,0,0.033,,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082919Z-6bc01bff/logs/noop.stdout.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082919Z-6bc01bff/logs/noop.stderr.log,.build/anigma-pipeline/runs/pipeline-bootstrap/20260505T082919Z-6bc01bff/step-results/noop.json
20260505T082932Z-1d856389,td-cleanup-004,daemon-runtime,atlas-build,python3 scripts/anigma_build_repo_atlas.py,passed,0,8.862,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/atlas-build.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/atlas-build.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/step-results/atlas-build.json
20260505T082932Z-1d856389,td-cleanup-004,daemon-runtime,context-query,python3 scripts/anigma_context_query.py --risk daemon_ipc_binding --target AnigmaDaemonCore --limit 10,passed,0,0.402,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/context-query.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/context-query.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/step-results/context-query.json
20260505T082932Z-1d856389,td-cleanup-004,daemon-runtime,executable-advisory,python3 scripts/anigma_executable_consolidation_audit.py --mode advisory --focus anigmad --json-out .build/anigma-executable-consolidation-audit.json,passed,0,1.642,,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/executable-advisory.stdout.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/logs/executable-advisory.stderr.log,.build/anigma-pipeline/runs/td-cleanup-004/20260505T082932Z-1d856389/step-results/executable-advisory.json
